USA_Canada,X,Y
0.0000000000,-118.6225000000,33.4841666420
0.0000000000,-118.6216666700,33.4841666420
0.0000000000,-118.6208333300,33.4841666420
0.0000000000,-118.6200000000,33.4841666420
0.0000000000,-118.6191666700,33.4841666420
0.0000000000,-118.6183333300,33.4841666420
0.0000000000,-118.6175000000,33.4841666420
0.0000000000,-118.6166666700,33.4841666420
0.0000000000,-118.6158333300,33.4841666420
0.0000000000,-118.6150000000,33.4841666420
0.0000000000,-118.6141666700,33.4841666420
0.0000000000,-118.6133333300,33.4841666420
0.0000000000,-118.6125000000,33.4841666420
0.0000000000,-118.6116666700,33.4841666420
0.0000000000,-118.6108333300,33.4841666420
0.0000000000,-118.6100000000,33.4841666420
0.0000000000,-118.6091666700,33.4841666420
0.0000000000,-118.6083333300,33.4841666420
0.0000000000,-118.6075000000,33.4841666420
0.0000000000,-118.6066666700,33.4841666420
0.0000000000,-118.6058333300,33.4841666420
0.0000000000,-118.6050000000,33.4841666420
0.0000000000,-118.6041666700,33.4841666420
0.0000000000,-118.6033333300,33.4841666420
0.0000000000,-118.6025000000,33.4841666420
0.0000000000,-118.6016666700,33.4841666420
0.0000000000,-118.6008333300,33.4841666420
0.0000000000,-118.6000000000,33.4841666420
0.0000000000,-118.5991666700,33.4841666420
0.0000000000,-118.5983333300,33.4841666420
0.0000000000,-118.5975000000,33.4841666420
0.0000000000,-118.5966666700,33.4841666420
0.0000000000,-118.5958333300,33.4841666420
0.0000000000,-118.5950000000,33.4841666420
0.0000000000,-118.5941666700,33.4841666420
0.0000000000,-118.5933333300,33.4841666420
0.0000000000,-118.5925000000,33.4841666420
0.0000000000,-118.5916666700,33.4841666420
0.0000000000,-118.5908333300,33.4841666420
0.0000000000,-118.5900000000,33.4841666420
0.0000000000,-118.5891666700,33.4841666420
0.0000000000,-118.5883333300,33.4841666420
0.0000000000,-118.5875000000,33.4841666420
0.0000000000,-118.5866666700,33.4841666420
0.0000000000,-118.5858333300,33.4841666420
0.0000000000,-118.5850000000,33.4841666420
0.0000000000,-118.5841666700,33.4841666420
0.0000000000,-118.5833333300,33.4841666420
0.0000000000,-118.5825000000,33.4841666420
0.0000000000,-118.5816666700,33.4841666420
0.0000000000,-118.5808333300,33.4841666420
0.0000000000,-118.5800000000,33.4841666420
0.0000000000,-118.5791666700,33.4841666420
0.0000000000,-118.5783333300,33.4841666420
0.0000000000,-118.5775000000,33.4841666420
0.0000000000,-118.5766666700,33.4841666420
0.0000000000,-118.5758333300,33.4841666420
0.0000000000,-118.5750000000,33.4841666420
0.0000000000,-118.5741666700,33.4841666420
0.0000000000,-118.5733333300,33.4841666420
0.0000000000,-118.5725000000,33.4841666420
0.0000000000,-118.5716666700,33.4841666420
0.0000000000,-118.5708333300,33.4841666420
0.0000000000,-118.5700000000,33.4841666420
0.0000000000,-118.5691666700,33.4841666420
0.0000000000,-118.5683333300,33.4841666420
0.0000000000,-118.5675000000,33.4841666420
0.0000000000,-118.5666666700,33.4841666420
0.0000000000,-118.5658333300,33.4841666420
0.0000000000,-118.5650000000,33.4841666420
0.0000000000,-118.5641666700,33.4841666420
0.0000000000,-118.5633333300,33.4841666420
0.0000000000,-118.5625000000,33.4841666420
0.0000000000,-118.5616666700,33.4841666420
0.0000000000,-118.5608333300,33.4841666420
0.0000000000,-118.5600000000,33.4841666420
0.0000000000,-118.5591666700,33.4841666420
0.0000000000,-118.5583333300,33.4841666420
0.0000000000,-118.5575000000,33.4841666420
0.0000000000,-118.5566666700,33.4841666420
0.0000000000,-118.5558333300,33.4841666420
0.0000000000,-118.5550000000,33.4841666420
0.0000000000,-118.5541666700,33.4841666420
0.0000000000,-118.5533333300,33.4841666420
0.0000000000,-118.5525000000,33.4841666420
0.0000000000,-118.5516666700,33.4841666420
0.0000000000,-118.5508333300,33.4841666420
0.0000000000,-118.5500000000,33.4841666420
0.0000000000,-118.5491666700,33.4841666420
0.0000000000,-118.5483333300,33.4841666420
0.0000000000,-118.5475000000,33.4841666420
0.0000000000,-118.5466666700,33.4841666420
0.0000000000,-118.5458333300,33.4841666420
0.0000000000,-118.5450000000,33.4841666420
0.0000000000,-118.5441666700,33.4841666420
0.0000000000,-118.5433333300,33.4841666420
0.0000000000,-118.5425000000,33.4841666420
0.0000000000,-118.5416666700,33.4841666420
0.0000000000,-118.5408333300,33.4841666420
0.0000000000,-118.5400000000,33.4841666420
0.0000000000,-118.5391666700,33.4841666420
0.0000000000,-118.5383333300,33.4841666420
0.0000000000,-118.5375000000,33.4841666420
0.0000000000,-118.5366666700,33.4841666420
0.0000000000,-118.5358333300,33.4841666420
0.0000000000,-118.5350000000,33.4841666420
0.0000000000,-118.5341666700,33.4841666420
0.0000000000,-118.5333333300,33.4841666420
0.0000000000,-118.5325000000,33.4841666420
0.0000000000,-118.5316666700,33.4841666420
0.0000000000,-118.5308333300,33.4841666420
0.0000000000,-118.5300000000,33.4841666420
0.0000000000,-118.5291666700,33.4841666420
0.0000000000,-118.5283333300,33.4841666420
0.0000000000,-118.5275000000,33.4841666420
0.0000000000,-118.5266666700,33.4841666420
0.0000000000,-118.5258333300,33.4841666420
0.0000000000,-118.5250000000,33.4841666420
0.0000000000,-118.5241666700,33.4841666420
0.0000000000,-118.5233333300,33.4841666420
0.0000000000,-118.5225000000,33.4841666420
0.0000000000,-118.5216666700,33.4841666420
0.0000000000,-118.5208333300,33.4841666420
0.0000000000,-118.5200000000,33.4841666420
0.0000000000,-118.5191666700,33.4841666420
0.0000000000,-118.5183333300,33.4841666420
0.0000000000,-118.5175000000,33.4841666420
0.0000000000,-118.5166666700,33.4841666420
0.0000000000,-118.5158333300,33.4841666420
0.0000000000,-118.5150000000,33.4841666420
0.0000000000,-118.5141666700,33.4841666420
0.0000000000,-118.5133333300,33.4841666420
0.0000000000,-118.5125000000,33.4841666420
0.0000000000,-118.5116666700,33.4841666420
0.0000000000,-118.5108333300,33.4841666420
0.0000000000,-118.5100000000,33.4841666420
0.0000000000,-118.5091666700,33.4841666420
0.0000000000,-118.5083333300,33.4841666420
0.0000000000,-118.5075000000,33.4841666420
0.0000000000,-118.5066666700,33.4841666420
0.0000000000,-118.5058333300,33.4841666420
0.0000000000,-118.5050000000,33.4841666420
0.0000000000,-118.5041666700,33.4841666420
0.0000000000,-118.5033333300,33.4841666420
0.0000000000,-118.5025000000,33.4841666420
0.0000000000,-118.5016666700,33.4841666420
