srtm_12_04,X,Y
1627.0000000000,-122.1983327300,43.0866668120
1632.0000000000,-122.1974993900,43.0866668120
1637.0000000000,-122.1966660600,43.0866668120
1639.0000000000,-122.1958327300,43.0866668120
1639.0000000000,-122.1949993900,43.0866668120
1639.0000000000,-122.1941660600,43.0866668120
1641.0000000000,-122.1933327300,43.0866668120
1643.0000000000,-122.1924993900,43.0866668120
1644.0000000000,-122.1916660600,43.0866668120
1646.0000000000,-122.1908327300,43.0866668120
1653.0000000000,-122.1899993900,43.0866668120
1654.0000000000,-122.1891660600,43.0866668120
1655.0000000000,-122.1883327300,43.0866668120
1657.0000000000,-122.1874993900,43.0866668120
1659.0000000000,-122.1866660600,43.0866668120
1660.0000000000,-122.1858327300,43.0866668120
1660.0000000000,-122.1849993900,43.0866668120
1662.0000000000,-122.1841660600,43.0866668120
1664.0000000000,-122.1833327300,43.0866668120
1666.0000000000,-122.1824993900,43.0866668120
1666.0000000000,-122.1816660600,43.0866668120
1666.0000000000,-122.1808327300,43.0866668120
1668.0000000000,-122.1799993900,43.0866668120
1669.0000000000,-122.1791660600,43.0866668120
1670.0000000000,-122.1783327300,43.0866668120
1670.0000000000,-122.1774993900,43.0866668120
1670.0000000000,-122.1766660600,43.0866668120
1672.0000000000,-122.1758327300,43.0866668120
1673.0000000000,-122.1749993900,43.0866668120
1673.0000000000,-122.1741660600,43.0866668120
1673.0000000000,-122.1733327300,43.0866668120
1678.0000000000,-122.1724993900,43.0866668120
1682.0000000000,-122.1716660600,43.0866668120
1688.0000000000,-122.1708327300,43.0866668120
1696.0000000000,-122.1699993900,43.0866668120
1708.0000000000,-122.1691660600,43.0866668120
1721.0000000000,-122.1683327300,43.0866668120
1736.0000000000,-122.1674993900,43.0866668120
1751.0000000000,-122.1666660600,43.0866668120
1759.0000000000,-122.1658327300,43.0866668120
1768.0000000000,-122.1649993900,43.0866668120
1782.0000000000,-122.1641660600,43.0866668120
1794.0000000000,-122.1633327300,43.0866668120
1804.0000000000,-122.1624993900,43.0866668120
1814.0000000000,-122.1616660600,43.0866668120
1828.0000000000,-122.1608327300,43.0866668120
1839.0000000000,-122.1599993900,43.0866668120
1845.0000000000,-122.1591660600,43.0866668120
1845.0000000000,-122.1583327300,43.0866668120
1835.0000000000,-122.1574993900,43.0866668120
1818.0000000000,-122.1566660600,43.0866668120
1796.0000000000,-122.1558327300,43.0866668120
1778.0000000000,-122.1549993900,43.0866668120
1775.0000000000,-122.1541660600,43.0866668120
1777.0000000000,-122.1533327300,43.0866668120
1780.0000000000,-122.1524993900,43.0866668120
